class,text
1,Проведение контроля и мониторинга общих проектных затрат для обеспечения учета закупок и ведения отчетной документации;
1,Выполнение ежемесячной производственной и административной отчетности связанной с проектными затратами для обеспечения финансирования в рамках сметы проекта;
1,Подготовка документов в соответствии с предъявляемыми требованиями;
1,Контроль процедуры закупок материалов для предотвращения чрезмерных затрат;
1,Расчет и корректировка объемов строительных работ;
1,При необходимости выполнение других специальных производственных работ;Требования:
2,График работы 6/1 с 08.00 до 19.00 (можно договориться);
2,Официальное трудоустройство;
2,Испытательный срок - 3 мес.;
2,Работа на объекте строительства;
2,Размер заработной платы обсуждается по итогам собеседования с успешным кандидатом;
2,3-разовое питание + чай кофе ост. вопросы обсуждаем лично при собеседовании после рассмотрения резюме;
2, Адрес: Москва проезд Серебрякова 11-13к1 
1,Монтаж систем пожарно-охранной сигнализации (ПОС) систем контроля управления доступом (СКУД) структурированных кабельных сетей (СКС) видеонаблюдения датчиков шкафной и кабельной продукции в промышленных инженерных сооружениях прокладка магистральных проводных линий лотков трубной канализации.
0,Образование средне-специальное и выше.
0,Готовы рассматривать кандидатов без опыта работы.
0,Навыки: опыт работы с электроинструментом знание техники безопасности.
2,Работа на строительных объектах Москвы - подземные и надземные переходы автомобильные эстакады автомобильные тоннели очистные сооружения административные здания. Требуется несколько человек работа в составе бригады.
2,100% официальная зарплата выплаты на банковскую карту.
2,Заработная плата: оклад 60-70тр на руки (по итогам интервью зависит от квалификации) переработки и работа в выходные дни оплачиваются в соответствии с законодательством. Совокупный доход в среднем 70-80тр на руки в месяц.
2,График работы: 08.00-17.00 5/2.
2,Испытательный срок 1 месяц.
2,Спецодежда и инструмент предоставляется.
2,Есть перспектива карьерного роста.
1,Соблюдение целевого и рационального использования инвестиций и ресурсов.
1,Контроль качества соблюдения условий договоров и в случае необходимости разработка мер для выполнения условий предусмотренных договором.
1,Подготовка и представление Заказчику отчета о выполнении договорных обязательств.
1,Контроль работы процесса строительства на имеющихся объектах обеспечение ввода в действие объектов строительства в расчетные сроки и с заданным качеством.
1,Осуществление общим руководством производственным строительным подразделением.
1, Организация и контроль подготовки пакета рабочей документации для субподрядных организаций получение и согласование проекта производства работ. 
0,Координация СМР субподрядных организаций по сооружению объектов строительства в соответствии с этапами строительства.
2,Участие в контрольных проверках выполнения подрядными организациями СМР.
2,Обеспечение своевременного устранения нарушений предписаний и актов контролирующих и надзорных организаций.
2,Рассмотрение и совместное регулирование спорных вопросов по выполнению условий договора (контракта) подряда с Заказчиком/Подрядчиком и другими участниками строительства.
1,Разработка документации стадий П и Р под руководством ведущего архитектора в соответствии с действующими нормами
1,Разработка разделов АР СПОЗУ ДП
1,Составление ведомостей отделочных работ и спецификаций материалов
1,Взаимодействие со смежными разделами согласование с ними проектных решений по объекту;
1,Внесение правок и корректировок в разработанные проекты
1,Печать и брошюровка проектов
1,Выезд на обмеры и визуальные обследования помещений и территорий
0,Образование высшее профильное;
0,Знание и владение ArchiCAD (предпочтительно);
0,Знание и готовность к изучению нормативной базы (СП СНиП ГОСТ и т.д.);
0,Опыт работы в области проектирования будет являться преимуществом;
0,Знание строительных материалов изделий конструкций и их технических технологических эстетических и эксплуатационных характеристик;
0,Уверенный пользователь ПК: MS Office;
0,Аккуратность работоспособность коммуникабельность.
2,Официальное оформление по ТК РФ
2,Оплачиваемый отпуск и больничный
2,Соблюдение праздничных дней
2,График 5/2 с 9 до 18
2,З/п - 45 000 рублей в месяц (на испытательный срок)
2,После испытательного срока вас ждет прозрачная бонусная система
1,Своевременная подготовка исполнительной документации актов скрытых работ
