,Unnamed: 0,responsobilities
0,0,Работа на строительных площадках. Очистных сооружениях.
1,1,Работа на строительных площадках. Очистных сооружениях.
2,2,Вязка арматуры.
3,3,"Выполнение работ по гнутью и резке арматурной стали на ручных, электромеханических и электрических станках. Выполнение работ по сборке и вязке арматурных сеток и плоских арматурных каркасов."
4,4,"Вахта в город Москва.  Обязанности: - армирование каркаса;  Требования: - опыт в строительстве приветствуется; - работа в бригаде;  Условия: - продолжительность вахты 60/30 (продление вахты возможно); - Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;"
5,5,"Вахта в город Москва.  Обязанности: - армирование каркаса;  Требования: - опыт в строительстве приветствуется; - работа в бригаде;  Условия: - продолжительность вахты 60/30 (продление вахты возможно); - Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;"
6,6,Подготовка участка к укладке дорожного покрытия. Проведение вспомогательных работ в процессе строительства и ремонта дорожных покрытий. Осуществление мелкого ремонта дорожного...
7,7,"Приготовление асфальтовых смесей на передвижных установках. Все виды работ с бетоном, асфальтом, бордюрами, поребриками, эмульсией. Подготовка дорожного основания под асфальтирование. "
8,8,"Крупной Федеральной Компании для работы ВАХТОВЫМ МЕТОДОМ на строительные участки требуются специалисты:  Обязанности:  · Работы на монолите (заливка бетона, укладка и вязка арматуры)  · Монтажные работы (МК/ЖБК)  · Общестроительные работы и вспомогательные работы  Требования:  · Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка)  Условия:  · Продолжительность вахты 60/30, 90/30 (можно больше)  · Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)  · Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре)"
9,9,"Крупной Федеральной Компании для работы ВАХТОВЫМ МЕТОДОМ на строительные участки требуются специалисты:  Обязанности:  · Работы на монолите (заливка бетона, укладка и вязка арматуры)  · Монтажные работы (МК/ЖБК)  · Общестроительные работы и вспомогательные работы  Требования:  · Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка)  Условия:  · Продолжительность вахты 60/30, 90/30 (можно больше)  · Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)  · Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре)"
10,10,"Обязанности:  — Устройство бетонных полов, приямков, опалубки, вязание арматурных каркасов; — Бетонные работы.  Требования:  — Образование среднее профессиональное или начальное образование по данной специальности; — Опыт работы в от 2 лет будет вашим преимуществом; — Разряд по специальности не менее 4 желателен; — Желательно наличие удостоверения на право работы бетонщиком; — В случае отсутствия удостоверения-наличие записей в трудовой книжке, подтверждающие опыт работы по данной специальности и разряд.  Условия:  — Вахтовый метод работы 30/30 в Хабаровском крае, Комсомольский район; — Официальное трудоустройство; — Проживание, питание на территории вахтового поселка за счет работодателя; — Компенсация проезда до места работы и обратно; — Возмещение затрат за прохождение медицинской комиссии; — Трудоустройство в г.Хабаровск. "
11,11,"Обязанности:  — Подготовительные работы, вязка арматуры, заливка бетона, опалубка и т.п.  — Строительство мостов, путепроводов, ливневки, водостоки, коммуникации  Требования:  — Опыт работы бетонщиком/арматурщиком, разнорабочим на стройке  Условия:  — Выдаются авансы  — График работы 30/15 ; 45/15- ВАХТА  — Официальное оформление по ТК РФ  — Горячее питание два раза в день  — Спецодежда со второй вахты  На вакансию рассматриваем кандидатов с опытом работы бетонщика, арматурщика, бетонщика /арматурщика, бетонщики /монолитчики, арматурщик /монолитчик, подсобный рабочий, рабочий стройки."
12,12,"Обязанности:
• Подготовка к сварочным работам, соблюдение технологии и ТБ
• Выполнение в установленные сроки электрогазосварочных работ
• Сварка ответственных и несущих металлоконструкций
• Работа с ручным электроинструментом

Требования:
• Знание Русского языка
• Опыт работы на стройке сварщиком
• Наличие профильного образования, реального опыта, корочек, будет преимуществом при распределении работ и объектов, на ручную дуговую сварку
• Не бояться работы в котловане с землей
• Не бояться стройки, желание работать, ответственный подход
• Навыки работы с электроинструментом

Условия:
• Выплата зп без задержек (на карту)
• Проживание бесплатно
• Компенсация проезда
• Питание 3-х разовое
• Предоставляется спецодежда"
13,13,Машиностроительный завод в г. Екатеринбург  Обязанности:  -Нанесение лакокрасочного покрытия методом безвоздушного напыления  - Подготовка к покраске  - Маркирование изделий  Условия:  -Вахта 60/30  -Проживание в квартире за счет работодателя  -Проезд оплачивается  -Спецодежда и медосмотр за счет компании  -Стабильная заработная плата без задержек  -Официальное трудоустройство согласно ТК
